Ramen ShopKawano(Itabashi)	板橋区赤塚新町2-2-13
BuckwheatsoulofChinese(Itabashi)	板橋区上板橋1-25-10
JikaseimenNo11(Itabashi)	板橋区大山金井町14-12
Doutonbori(Itabashi)	板橋区成増2-17-2
Sawa(Itabashi)	板橋区中板橋25-14
Ramen Hajime(Itabashi)	板橋区坂下2-16-11
LR	
Supaisu Ramen Manriki(Edogawa)	江戸川区西葛西3-16-5スワームマンション2-1F
TonkotsuItto(Edogawa)	江戸川区西小岩4-14-23
Tastenoodle Hiraishopofmind(Edogawa)	江戸川区平井5-30-4
Hiyokopudding(Edogawa)	江戸川区平井3-16-11-103
Suppon(Edogawa)	江戸川区南小岩7-27-7
Menyashimizu(Edogawa)	江戸川区西小岩4-1-5
LR	
Menya Kissou(Koto)	江東区東陽1-11-3
Koukaibou Ramen(Koto)	江東区深川2-13-10
Yamaguchi Ratsushiki(Koto)	江東区東陽4-6-3栗林ビル1F
Kameido Niboshi Chinese Soba Tsukihi(Koto)	江東区亀戸5-13-2スクエア三報ビル1F亀戸
Ramen 5510(Koto)	江東区大島5-5-10
Shinasoba Shinba(Koto)	江東区富岡1-22-26杉田ビル1F
Magokorochuubou(Koto)	江東区東陽1-25-6
Menya Nakagawa Kai(Koto)	江東区住吉1-19-1ツインタワーすみとし住吉館1F
Tokanya(Koto)	江東区南砂5-21-4
LR	
Ramen JirōMitaHeadquarters(Minato)	港区三田2-16-4
Ramen Mikata(Minato)	港区新橋4-6-10
Nishiazabu Gold(Minato)	港区西麻布1-8-12
Tsukito Kame(Minato)	港区新橋3-14-6
MENYASHO(Minato)	港区高輪3-26-20ラーメンストリート品達内
ShimbashiMatoi Ramen(Minato)	港区新橋3-13-2新共ビル1F
Rishiri Kombu Ramen(Minato)	港区西新橋1-20-11安藤ビル
THANK(Minato)	港区芝大門2-1-13芝大友ビル1F
Kashimura(Minato)	港区東新橋2-10-2中銀新橋マンシオン101
Menkoi Dokoro Kiraku(Minato)	港区新橋5-24-5
Korindo(Minato)	港区新橋5-33-8新橋SSビル1F
